Pos,Squadra,PG,V,N,P,Rf,Rs,DR,Pt,xG,xGA,Lega
1,Real Madrid,22,15,4,3,50,21,29,49,44.3,20.4,la liga
2,Atlético Madrid,22,14,6,2,37,14,23,48,37.5,18.6,la liga
3,Barcelona,22,14,3,5,60,24,36,45,55.2,26.3,la liga
4,Athletic Club,22,11,8,3,33,20,13,41,31.0,20.9,la liga
5,Villarreal,22,10,7,5,44,33,11,37,40.6,25.0,la liga
6,Rayo Vallecano,23,9,8,6,27,24,3,35,28.5,26.8,la liga
7,Girona,22,9,4,9,31,30,1,31,28.2,26.1,la liga
8,Osasuna,22,7,9,6,27,31,-4,30,22.6,30.2,la liga
9,Mallorca,22,9,3,10,19,28,-9,30,23.3,24.8,la liga
10,Betis,22,7,8,7,25,28,-3,29,30.8,28.8,la liga
11,Real Sociedad,22,8,4,10,18,19,-1,28,26.2,23.2,la liga
12,Sevilla,22,7,7,8,24,30,-6,28,24.6,28.0,la liga
13,Celta Vigo,22,7,4,11,31,35,-4,25,28.9,24.8,la liga
14,Getafe,22,5,9,8,17,17,0,24,21.2,26.1,la liga
15,Las Palmas,22,6,5,11,27,36,-9,23,21.9,42.1,la liga
16,Leganés,22,5,8,9,19,30,-11,23,17.3,36.9,la liga
17,Espanyol,22,6,5,11,21,33,-12,23,18.2,34.9,la liga
18,Alavés,22,5,6,11,25,34,-9,21,23.2,27.1,la liga
19,Valencia,22,4,7,11,22,37,-15,19,23.0,33.9,la liga
20,Valladolid,23,4,3,16,15,48,-33,15,19.6,41.2,la liga
